country,beer_servings
"""Afghanistan"",0"
"""Albania"",89"
"""Algeria"",25"
"""Andorra"",245"
"""Angola"",217"
"""Antigua & Barbuda"",102"
"""Argentina"",193"
"""Armenia"",21"
"""Australia"",261"
"""Austria"",279"
"""Azerbaijan"",21"
"""Bahamas"",122"
"""Bahrain"",42"
"""Bangladesh"",0"
"""Barbados"",143"
"""Belarus"",142"
"""Belgium"",295"
"""Belize"",263"
"""Benin"",34"
"""Bhutan"",23"
"""Bolivia"",167"
"""Bosnia-Herzegovina"",76"
"""Botswana"",173"
"""Brazil"",245"
"""Brunei"",31"
"""Bulgaria"",231"
"""Burkina Faso"",25"
"""Burundi"",88"
"""Cote d'Ivoire"",37"
"""Cabo Verde"",144"
"""Cambodia"",57"
"""Cameroon"",147"
"""Canada"",240"
"""Central African Republic"",17"
"""Chad"",15"
"""Chile"",130"
"""China"",79"
"""Colombia"",159"
"""Comoros"",1"
"""Congo"",76"
"""Cook Islands"",0"
"""Costa Rica"",149"
"""Croatia"",230"
"""Cuba"",93"
"""Cyprus"",192"
"""Czech Republic"",361"
"""North Korea"",0"
"""DR Congo"",32"
"""Denmark"",224"
"""Djibouti"",15"
"""Dominica"",52"
"""Dominican Republic"",193"
"""Ecuador"",162"
"""Egypt"",6"
"""El Salvador"",52"
"""Equatorial Guinea"",92"
"""Eritrea"",18"
"""Estonia"",224"
"""Ethiopia"",20"
"""Fiji"",77"
"""Finland"",263"
"""France"",127"
"""Gabon"",347"
"""Gambia"",8"
"""Georgia"",52"
"""Germany"",346"
"""Ghana"",31"
"""Greece"",133"
"""Grenada"",199"
"""Guatemala"",53"
"""Guinea"",9"
"""Guinea-Bissau"",28"
"""Guyana"",93"
"""Haiti"",1"
"""Honduras"",69"
"""Hungary"",234"
"""Iceland"",233"
"""India"",9"
"""Indonesia"",5"
"""Iran"",0"
"""Iraq"",9"
"""Ireland"",313"
"""Israel"",63"
"""Italy"",85"
"""Jamaica"",82"
"""Japan"",77"
"""Jordan"",6"
"""Kazakhstan"",124"
"""Kenya"",58"
"""Kiribati"",21"
"""Kuwait"",0"
"""Kyrgyzstan"",31"
"""Laos"",62"
"""Latvia"",281"
"""Lebanon"",20"
"""Lesotho"",82"
"""Liberia"",19"
"""Libya"",0"
"""Lithuania"",343"
"""Luxembourg"",236"
"""Madagascar"",26"
"""Malawi"",8"
"""Malaysia"",13"
"""Maldives"",0"
"""Mali"",5"
"""Malta"",149"
"""Marshall Islands"",0"
"""Mauritania"",0"
"""Mauritius"",98"
"""Mexico"",238"
"""Micronesia"",62"
"""Monaco"",0"
"""Mongolia"",77"
"""Montenegro"",31"
"""Morocco"",12"
"""Mozambique"",47"
"""Myanmar"",5"
"""Namibia"",376"
"""Nauru"",49"
"""Nepal"",5"
"""Netherlands"",251"
"""New Zealand"",203"
"""Nicaragua"",78"
"""Niger"",3"
"""Nigeria"",42"
"""Niue"",188"
"""Norway"",169"
"""Oman"",22"
"""Pakistan"",0"
"""Palau"",306"
"""Panama"",285"
"""Papua New Guinea"",44"
"""Paraguay"",213"
"""Peru"",163"
"""Philippines"",71"
"""Poland"",343"
"""Portugal"",194"
"""Qatar"",1"
"""South Korea"",140"
"""Moldova"",109"
"""Romania"",297"
"""Russian Federation"",247"
"""Rwanda"",43"
"""St. Kitts & Nevis"",194"
"""St. Lucia"",171"
"""St. Vincent & the Grenadines"",120"
"""Samoa"",105"
"""San Marino"",0"
"""Sao Tome & Principe"",56"
"""Saudi Arabia"",0"
"""Senegal"",9"
"""Serbia"",283"
"""Seychelles"",157"
"""Sierra Leone"",25"
"""Singapore"",60"
"""Slovakia"",196"
"""Slovenia"",270"
"""Solomon Islands"",56"
"""Somalia"",0"
"""South Africa"",225"
"""Spain"",284"
"""Sri Lanka"",16"
"""Sudan"",8"
"""Suriname"",128"
"""Swaziland"",90"
"""Sweden"",152"
"""Switzerland"",185"
"""Syria"",5"
"""Tajikistan"",2"
"""Thailand"",99"
"""Macedonia"",106"
"""Timor-Leste"",1"
"""Togo"",36"
"""Tonga"",36"
"""Trinidad & Tobago"",197"
"""Tunisia"",51"
"""Turkey"",51"
"""Turkmenistan"",19"
"""Tuvalu"",6"
"""Uganda"",45"
"""Ukraine"",206"
"""United Arab Emirates"",16"
"""United Kingdom"",219"
"""Tanzania"",36"
"""USA"",249"
"""Uruguay"",115"
"""Uzbekistan"",25"
"""Vanuatu"",21"
"""Venezuela"",333"
"""Vietnam"",111"
"""Yemen"",6"
"""Zambia"",32"
"""Zimbabwe"",64"
